order_id,customer_name,email,category,price,quantity,order_date,payment_status,customer_rating
1522,Emma Wilson,bob@email.com,electronics,459.1512655621916,2.0,15-03-2024,unknown,1.0
1738,Maria Garcia,john@email.com,clothing,149.2943055344832,1.0,2023-11-20,unknown,5.0
1661,Michael Brown,maria@email.com,electronics,75.87321340997971,7.0,2023-11-20,pending,1.0
1412,Michael Brown,alice@invalid,clothing,248.95686362441955,4.0,2024-01-01,unknown,5.0
1679,Jane Smith,alice@invalid,electronics,386.7721632327441,2.0,2023-11-20,failed,1.0
1627,Maria Garcia,john@email.com,electronics,433.1382860321271,8.0,2024/02/20,pending,5.0
1137,John Doe,alice@invalid,electronics,43.789428014646376,6.0,2024/02/20,unknown,1.0
1974,Alice Wong,jane@email.com,home & garden,251.90335209527657,5.0,2026-12-31,paid,3.0
1900,Alice Wong,john@email.com,electronics,82.17849169669547,4.0,2024-01-15,pending,5.0
1281,Bob Johnson,jane@email.com,books,274.9889399429168,6.0,2024-02-14,refunded,2.0
1762,Jane Smith,maria@email.com,electronics,222.57053559249948,5.0,2024/02/20,pending,3.0
1175,Michael Brown,jane@email.com,electronics,181.2581223225412,1.0,2023-11-20,refunded,2.0
1372,Michael Brown,bob@email.com,clothing,452.4185476440737,4.0,2024-01-01,paid,3.0
1211,Emma Wilson,jane@email.com,electronics,264.4990711569293,1.0,2024-02-14,unknown,5.0
1236,Bob Johnson,maria@email.com,electronics,293.0207492817672,8.0,2024-02-14,refunded,5.0
1102,Jane Smith,john@email.com,electronics,421.50311996145246,9.0,2024-01-01,paid,2.0
1987,Bob Johnson,maria@email.com,clothing,251.90335209527657,5.0,2024-02-14,paid,3.0
1948,Michael Brown,alice@invalid,home & garden,243.6810521693053,8.0,15-03-2024,unknown,4.0
1140,John Doe,bob@email.com,books,138.23578503059392,7.0,2024-01-15,pending,3.0
1500,Bob Johnson,maria@email.com,books,15.736239258142993,9.0,2026-12-31,failed,2.0
