order_id,customer_name,email,category,price,quantity,order_date,payment_status,customer_rating
1522,Emma Wilson,bob@email.com,Electronics,459.1512655621916,2,15-03-2024,,1
1738,Maria Garcia,john@email.com,clothing,149.2943055344832,1,2023-11-20,,5
1741,Emma Wilson,,Home & Garden,36.62269706322287,8,2023-11-20,,2
1661,Michael Brown  ,maria@email.com,,75.87321340997971,7,2023-11-20,Pending,1
1412,Michael Brown  ,alice@invalid,clothing,248.95686362441955,4,2024-01-01,,5
1679,jane smith,alice@invalid,,386.7721632327441,2,2023-11-20,failed,1
1627,Maria Garcia,john@email.com,ELECTRONICS,433.1382860321271,8,2024/02/20,pending,5
1514,,not-an-email,Home & Garden,339.7536449732719,3,2026-12-31,Failed,4
1860,Emma Wilson,bob@email.com,clothing,450.29469629067125,9,,,2
1137,John Doe,alice@invalid,electronics,43.789428014646376,6,2024/02/20,Unknown,1
1812,ALICE WONG,,electronics,359.47137280848267,8,2023-11-20,failed,5
1077,  Bob Johnson  ,bob@email.com,Home & Garden,414.27421098823044,9,,Unknown,5
1637,John Doe,john@email.com,home & garden,434.1328013560306,5,,Refunded,5
1974,ALICE WONG,jane@email.com,Home & Garden,,,2026-12-31,paid,
1939,,maria@email.com,clothing,103.15274839402653,9,,Failed,5
1900,ALICE WONG,john@email.com,,82.17849169669547,4,2024-01-15,pending,5
1281,  Bob Johnson  ,jane@email.com,Books,274.9889399429168,6,2024-02-14,Refunded,2
1884,Michael Brown  ,,Books,314.9826843673384,1,15-03-2024,Unknown,2
1762,jane smith,maria@email.com,,222.57053559249948,5,2024/02/20,Pending,3
1320,,,Books,159.60223158139834,9,15-03-2024,PAID,5
1550,Emma Wilson,maria@email.com,books,347.25437553231615,8,,Paid,2
1175,Michael Brown  ,jane@email.com,electronics,181.2581223225412,1,2023-11-20,Refunded,2
1372,Michael Brown  ,bob@email.com,clothing,452.4185476440737,4,2024-01-01,paid,3
1528,jane smith,,ELECTRONICS,355.73707269547407,9,2024-02-14,PAID,2
1211,Emma Wilson,jane@email.com,electronics,264.4990711569293,1,2024-02-14,,5
1236,  Bob Johnson  ,maria@email.com,,293.02074928176717,8,2024-02-14,Refunded,5
1102,jane smith,john@email.com,,421.50311996145246,9,2024-01-01,paid,2
1987,  Bob Johnson  ,maria@email.com,clothing,,,2024-02-14,paid,
1903,,not-an-email,electronics,229.35997845110498,5,2024/02/20,Unknown,3
1948,Michael Brown  ,alice@invalid,Home & Garden,243.6810521693053,8,15-03-2024,Unknown,4
1347,ALICE WONG,,electronics,430.5874216315692,4,,failed,2
1140,John Doe,bob@email.com,Books,138.23578503059392,7,2024-01-15,pending,3
1622,jane smith,,Electronics,472.58062597444496,7,2024-01-15,paid,1
1500,  Bob Johnson  ,maria@email.com,Books,15.736239258142993,9,2026-12-31,Failed,2
1371,  Bob Johnson  ,jane@email.com,books,33.58998962939319,8,2024-01-01,PAID,5
1199,Maria Garcia,john@email.com,Books,277.26161600938366,3,2024-01-01,Failed,5
1688,Maria Garcia,alice@invalid,books,209.48217967155753,6,2024/02/20,,2
1585,,jane@email.com,Clothing,158.14329218223193,1,2024-01-15,,1
1902,  Bob Johnson  ,bob@email.com,books,319.15167721229005,4,2024-01-01,PAID,4
1060,Maria Garcia,alice@invalid,ELECTRONICS,350.8528917834354,2,2024/02/20,Failed,2
1329,Michael Brown  ,alice@invalid,Electronics,335.8426027032377,7,2023-11-20,failed,3
1097,jane smith,,electronics,216.41154611409527,7,2026-12-31,PAID,2
1313,  Bob Johnson  ,maria@email.com,clothing,429.3112568638353,6,2026-12-31,,4
1975,  Bob Johnson  ,maria@email.com,Home & Garden,,,2026-12-31,Pending,
1300,Michael Brown  ,maria@email.com,Home & Garden,329.0623165920203,4,2024-01-15,PAID,4
1278,,john@email.com,Electronics,101.83185260781529,6,2024-02-14,Unknown,2
1925,John Doe,not-an-email,Electronics,128.56879385535223,1,2023-11-20,PAID,1
1602,Michael Brown  ,bob@email.com,home & garden,315.4689194981257,8,2026-12-31,Paid,4
1440,ALICE WONG,maria@email.com,,403.2669829941083,5,15-03-2024,pending,1
1838,Maria Garcia,maria@email.com,clothing,389.25577529485366,9,15-03-2024,Unknown,2
1571,,john@email.com,Clothing,415.08660627332887,5,2024-02-14,Pending,1
1880,Maria Garcia,jane@email.com,,189.18356664807195,8,2024-02-14,pending,2
1262,,john@email.com,Electronics,483.8920414769935,6,,Refunded,2
1579,jane smith,maria@email.com,Electronics,85.53107115745868,1,2026-12-31,Pending,3
1024,Michael Brown  ,jane@email.com,clothing,88.43510112774077,6,2023-11-20,Failed,2
1031,Maria Garcia,john@email.com,books,206.73221477203126,3,2024-02-14,Refunded,4
1618,Michael Brown  ,john@email.com,electronics,71.16219884375568,9,2024-01-01,paid,5
1011,ALICE WONG,bob@email.com,Clothing,114.62056949222924,2,2023-11-20,Unknown,2
1222,ALICE WONG,not-an-email,Electronics,237.32637463804306,3,2024-01-15,Failed,5
1821,Emma Wilson,alice@invalid,Home & Garden,419.38531061367524,3,2026-12-31,paid,1
1297,,bob@email.com,Books,180.49129167526164,9,2023-11-20,Unknown,3
1055,Emma Wilson,john@email.com,ELECTRONICS,363.81475971934117,1,15-03-2024,PAID,2
1543,ALICE WONG,not-an-email,electronics,162.49657258106285,7,,Failed,2
1210,Maria Garcia,john@email.com,,380.80823778743115,5,2026-12-31,PAID,4
1605,Emma Wilson,bob@email.com,,108.64293283299229,4,2024-01-01,,2
1693,Maria Garcia,jane@email.com,electronics,474.36713272259067,4,15-03-2024,Failed,5
1663,Maria Garcia,jane@email.com,Electronics,185.77060745433658,2,15-03-2024,paid,5
1867,Maria Garcia,alice@invalid,Clothing,121.83532811191256,1,2026-12-31,Refunded,1
1071,jane smith,not-an-email,Clothing,285.12744810016665,4,2024-02-14,Failed,4
1544,jane smith,alice@invalid,clothing,341.7891134701546,4,2026-12-31,Pending,2
1108,  Bob Johnson  ,bob@email.com,,173.91053148354675,5,,pending,1
1494,,maria@email.com,Home & Garden,364.746797178386,1,15-03-2024,Failed,1
1591,John Doe,john@email.com,home & garden,483.5445190745396,1,2023-11-20,Refunded,4
1742,,alice@invalid,Electronics,376.836164721838,5,2024-01-15,failed,4
1293,John Doe,john@email.com,Clothing,414.7293242269601,8,2024/02/20,PAID,4
1290,Michael Brown  ,bob@email.com,electronics,174.25194321172765,6,,paid,1
1653,Emma Wilson,not-an-email,,260.1119196120738,3,15-03-2024,,4
1040,ALICE WONG,not-an-email,electronics,281.57099192468814,5,2024-01-15,Unknown,2
1590,Maria Garcia,alice@invalid,,142.4213691440838,3,2024-01-01,paid,1
1308,jane smith,maria@email.com,ELECTRONICS,341.32700541696266,9,2026-12-31,failed,3
1680,jane smith,maria@email.com,electronics,332.6848526783269,8,2024-01-15,Failed,3
1067,  Bob Johnson  ,jane@email.com,Books,245.67671604420065,1,2024-01-15,failed,5
1276,  Bob Johnson  ,jane@email.com,home & garden,48.909226475084466,6,2023-11-20,failed,4
1068,John Doe,alice@invalid,,324.73950769356145,7,2026-12-31,Refunded,2
1319,Emma Wilson,,ELECTRONICS,261.20082904107596,4,2023-11-20,failed,2
1549,jane smith,alice@invalid,clothing,232.4607943860963,2,,failed,4
1999,Michael Brown  ,maria@email.com,books,6858.6203320117165,0,2024-02-14,failed,
1715,Michael Brown  ,alice@invalid,Clothing,323.83326066616354,2,15-03-2024,Paid,1
1754,jane smith,jane@email.com,clothing,164.97237336736032,4,15-03-2024,PAID,2
1328,Emma Wilson,not-an-email,Books,396.33919819411636,8,,failed,5
1383,  Bob Johnson  ,not-an-email,Books,497.76438293374184,8,2024/02/20,paid,2
1452,,alice@invalid,Clothing,251.83782436665814,6,2026-12-31,,4
1523,,not-an-email,Electronics,221.18275805151515,3,2024-02-14,Unknown,1
1219,Michael Brown  ,maria@email.com,Clothing,388.2861133918953,1,2024-01-01,Failed,4
1788,Michael Brown  ,not-an-email,ELECTRONICS,222.03727664965527,6,2024-01-01,PAID,2
1437,Michael Brown  ,john@email.com,Clothing,27.99346762540236,9,2024-01-15,Refunded,2
1765,Maria Garcia,not-an-email,ELECTRONICS,482.398424080153,8,2024-01-15,Refunded,3
1089,  Bob Johnson  ,not-an-email,,222.6694894251989,3,15-03-2024,Pending,1
1064,John Doe,bob@email.com,,399.1566923257713,3,2024-02-14,Pending,5
1827,ALICE WONG,bob@email.com,books,212.68491071013128,8,2026-12-31,failed,2
1717,ALICE WONG,bob@email.com,,305.71161706125554,6,15-03-2024,,2
1352,John Doe,jane@email.com,Books,18.823212244222702,7,2024-01-15,Paid,2
1937,,not-an-email,home & garden,314.9481996624506,6,2024/02/20,Refunded,1
1257,Emma Wilson,not-an-email,,311.496032284203,9,2024/02/20,,5
1636,jane smith,bob@email.com,books,292.8667243242343,4,2024/02/20,Unknown,3
1645,Michael Brown  ,alice@invalid,electronics,63.53946305171449,2,2024-02-14,failed,1
1555,John Doe,jane@email.com,ELECTRONICS,482.36852948767415,5,2026-12-31,Unknown,2
1960,Emma Wilson,maria@email.com,electronics,-12.952237262728723,-2,2024-01-01,Unknown,8
1169,Emma Wilson,alice@invalid,Books,330.5455547222965,4,,Failed,5
1918,  Bob Johnson  ,john@email.com,Home & Garden,228.31540298352655,8,2024-02-14,Paid,4
1529,jane smith,alice@invalid,,347.31845906114705,8,2024-02-14,Unknown,2
1824,Emma Wilson,alice@invalid,Electronics,175.29931791685541,7,2024-01-15,Paid,3
1986,jane smith,alice@invalid,,,,2024/02/20,Failed,
1817,John Doe,,ELECTRONICS,38.465056519371394,6,2024-01-01,failed,1
1087,,jane@email.com,,82.25173808607913,4,2024/02/20,Pending,5
1433,Maria Garcia,maria@email.com,Electronics,263.12058793852975,7,2024/02/20,Unknown,4
1185,John Doe,bob@email.com,Books,364.17900857215704,9,2024-02-14,pending,5
1979,Michael Brown  ,not-an-email,electronics,,,2023-11-20,,
1535,ALICE WONG,bob@email.com,home & garden,179.47995576155014,2,2026-12-31,PAID,4
1295,jane smith,bob@email.com,Books,127.53831525041292,4,,Paid,1
1893,John Doe,john@email.com,Home & Garden,179.14418216216316,2,,Paid,1
1426,Maria Garcia,jane@email.com,Electronics,486.0510185415148,3,15-03-2024,failed,5
1714,  Bob Johnson  ,bob@email.com,clothing,120.75420892983986,6,2026-12-31,Failed,3
1261,John Doe,john@email.com,Electronics,257.55131905255274,6,2024/02/20,pending,5
1238,,alice@invalid,electronics,400.9779382117881,8,2026-12-31,Refunded,1
1560,,john@email.com,electronics,88.41221886696508,5,2024/02/20,pending,5
1584,jane smith,not-an-email,Clothing,225.8162616530878,2,,paid,4
1446,ALICE WONG,maria@email.com,,52.67545572992803,8,2023-11-20,,4
1868,,jane@email.com,Electronics,130.83578113923207,4,2026-12-31,paid,2
1801,John Doe,jane@email.com,electronics,441.2768015815277,9,2024-01-01,pending,1
1600,,,home & garden,496.9857105608521,7,2024-02-14,Failed,2
1850,,alice@invalid,Books,388.83951822014905,7,2023-11-20,failed,4
1266,jane smith,,home & garden,320.9889238944313,4,2023-11-20,paid,2
1996,Maria Garcia,,clothing,9966.27507711482,0,2024-02-14,Pending,
1530,jane smith,,home & garden,193.53091463985947,4,2024-01-01,pending,4
1056,  Bob Johnson  ,bob@email.com,Clothing,444.2359324278865,3,15-03-2024,Pending,3
1121,Michael Brown  ,jane@email.com,Home & Garden,403.2952217998981,4,,failed,2
1216,Maria Garcia,bob@email.com,,127.01014357695425,5,2026-12-31,Refunded,2
1026,,bob@email.com,books,14.572493715275716,8,,pending,1
1073,John Doe,not-an-email,electronics,305.70895663226287,5,2024-02-14,paid,4
1045,  Bob Johnson  ,john@email.com,home & garden,109.21547448096634,2,2023-11-20,paid,1
1248,John Doe,john@email.com,,145.6831988151264,5,15-03-2024,Refunded,2
1722,ALICE WONG,maria@email.com,Books,256.5111358821198,8,2024/02/20,failed,3
1282,  Bob Johnson  ,john@email.com,Home & Garden,358.0189713254226,9,15-03-2024,Paid,1
1894,Maria Garcia,maria@email.com,Electronics,459.5680631346752,5,15-03-2024,Pending,4
1915,  Bob Johnson  ,maria@email.com,clothing,222.07984108263994,1,2023-11-20,Unknown,5
1811,ALICE WONG,bob@email.com,Home & Garden,203.6141447296366,9,2024-01-01,PAID,4
